customer_id,address,city,state,postal_code
CUST-92891,1157 Denise Fords,New Briannaton,Virginia,84826
CUST43811,406 Ross Stream,East Julie,Kentucky,95181
CUST79649,85653 Mckay Flats Apt. 660,Port Susanview,Alaska,61634
CUST20472,03495 Miller Rapid,Bassland,Oklahoma,11873
CUST69111,583 Cobb Harbor,Simmonsport,Maryland,96205
cust46020,6186 Caldwell Harbors Suite 966,Kelleyberg,South Carolina,93322
CUST10575,525 Cooper Rapid,Alvinland,Virginia,36706
CUST30377,330 Audrey Ferry,Hendersonport,Massachusetts,02774
CUST93950,3986 Robin Cliff Suite 051,North Amanda,Arizona,49796
CUST42210,4733 Jon Street Suite 247,Michelleberg,Illinois,00850
CUST-75959,441 Sarah Summit Apt. 387,Port Michael,Ohio,11260
CUST-16681,4774 James Ford Suite 183,East Michaelstad,Louisiana,26138
CUST-09863,8153 Little Square Apt. 789,Matthewton,North Dakota,76173
CUST55461,128 Rivera Valley Apt. 675,East Amanda,Pennsylvania,13228
CUST73037,8918 Jessica Flat,Port Jonathanfurt,Kentucky,25283
CUST36331,924 Curtis Rest,Audreybury,Pennsylvania,07319
CUST46896,18527 Kenneth Corners,Jenniferland,Kansas,26275
CUST81312,5530 Malik Camp,North Lindsey,Alabama,39407
CUST54364,8110 Ward Plaza Suite 557,Figueroachester,West Virginia,31614
CUST16215,4182 Donald Ridges Suite 520,Parkerland,Washington,81519
CUST16346,61669 Andre Terrace,East Elizabeth,West Virginia,18064
CUST77478,8268 Edwin Corner,Kellyfurt,Tennessee,22848
cust98134,962 Allison Roads Suite 791,North Michaelbury,Texas,18739
CUST-90234,2287 Jade Estate Apt. 007,Angelicafort,Florida,96841
CUST59698,87129 Davis Isle Apt. 058,Lake Sarahhaven,Alaska,52855
CUST28243,48022 Smith Tunnel Suite 474,Blevinsfurt,Rhode Island,91280
CUST49823,90418 Graham Spurs Suite 301,Murphystad,Florida,57047
CUST62219,878 Luna Light,Ronaldbury,Indiana,10209
CUST-41509,062 Megan Brooks Apt. 138,Smithview,Pennsylvania,63676
CUST76500,719 Jason Brook Apt. 514,Jessicaside,Virginia,22585
CUST43927,1914 Lamb Street Apt. 534,Andersonbury,Minnesota,77640
CUST27986,673 Lori Isle,East Diane,New York,52122
CUST65755,488 Briggs Pines,Davenportmouth,Vermont,50308
CUST12650,258 Monique Estate,Lake Amanda,Wisconsin,00712
cust63972,323 Clark Mews,Ronaldport,Nevada,89827
CUST79626,7809 Ramirez Unions Apt. 744,Mariahfort,Georgia,44373
CUST97106,53175 Sutton Station,Carolburgh,Vermont,66423
CUST07409,8741 Janice Highway Suite 267,Kathleenville,South Carolina,81385
cust39779,4534 Kelly Island Apt. 564,New Richardhaven,Nevada,78993
cust28273,009 Michael Parkways,North Mary,Illinois,52405
cust-36193,59722 Thomas Pine,Katherineborough,Wyoming,40518
cust08105,6680 Graham Square,North Lindahaven,Louisiana,04903
CUST-40935,34801 Harrell Mill,West Laura,Montana,69573
CUST82238,715 Green Mall Apt. 539,South Blake,New York,57834
CUST36990,627 Brandon Isle Apt. 649,North Carolberg,North Dakota,93640
CUST61034,7285 George Corner Suite 538,Port Andrew,New Jersey,65660
cust84852,8212 White Green Apt. 956,Davidsonview,West Virginia,38324
CUST-86604,78907 Miller Tunnel Apt. 981,Webbstad,Georgia,09482
CUST01345,1492 Harris Courts Suite 498,New Katherine,North Dakota,32552
CUST71644,974 Wallace Keys Suite 590,Smithmouth,Washington,40214
CUST-29417,343 Herrera Shoals Suite 156,East Jessica,Louisiana,76819
CUST-11479,6341 Clark Ramp,Owenston,Arkansas,87531
CUST94386,54773 Mendez Greens,Lake Charles,Kentucky,86911
CUST17307,25578 Morales Cove Apt. 547,Codyside,Tennessee,43597
CUST90480,3952 Michelle Plain Suite 558,Port Kimberlyshire,New York,45591
CUST52167,5816 Williams Turnpike Suite 136,East Jason,Tennessee,96978
CUST23706,0407 John Valley Suite 147,Lebury,Delaware,38622
CUST49274,595 April Forge Suite 456,North Stevenborough,Missouri,80256
CUST13723,17590 Katherine Mill,South Steveview,Arizona,75818
CUST68284,692 Edwards Courts Suite 215,Lake Andrea,Nevada,77227
CUST46989,3536 Cooke Land Suite 896,South Brianberg,Ohio,17912
CUST74304,1335 Karen Ridge,North Josephton,New Jersey,79616
CUST59952,74936 Rosales Fork Suite 796,Mackland,Louisiana,91531
